tablescraper-selected-row	tablescraper-selected-row 2	tablescraper-selected-row href	hidden-desktop	hidden-phone	hidden-phone 2	utc	utc 2	hidden-phone 3	utc 3	utc 4	hidden-phone 4
202	1Fyhd6BWJh6fAtC6rHu19K8FFx5a4aRaXH	https://bitinfocharts.com/bitcoin/address/1Fyhd6BWJh6fAtC6rHu19K8FFx5a4aRaXH	1,120 BTC ($99,909,195) 25 0	1,120 BTC ($99,909,195)	0.0056131%	2018-09-17 11:13:21	2025-10-30 04:36:29	25			
203	3MPaGxZfDKxu8srq5HSVtVjZ6SZcVgSBHM	https://bitinfocharts.com/bitcoin/address/3MPaGxZfDKxu8srq5HSVtVjZ6SZcVgSBHM	1,111 BTC ($99,132,879) 35 0	1,111 BTC ($99,132,879)	0.0055695%	2018-08-22 23:32:30	2025-10-30 04:36:29	35			
204	1N5ACP9k2wRUgC3siFRu45MoR9Xkvb6Wmc	https://bitinfocharts.com/bitcoin/address/1N5ACP9k2wRUgC3siFRu45MoR9Xkvb6Wmc	1,111 BTC ($99,102,530) 27 0	1,111 BTC ($99,102,530)	0.0055678%	2011-08-08 19:20:12	2025-10-30 04:36:29	27			
205	12yqUYtcCvDgiDgzJTT7DsSCoSifwYavhH	https://bitinfocharts.com/bitcoin/address/12yqUYtcCvDgiDgzJTT7DsSCoSifwYavhH	1,105 BTC ($98,567,325) 78 5	1,105 BTC ($98,567,325)	0.0055377%	2013-01-22 10:58:14	2025-10-30 04:36:29	78	2013-01-23 12:53:42	2013-09-07 20:00:16	5
206	1Dd3QKnvAZC17SvguLq8aoi8JLtQfr532P	https://bitinfocharts.com/bitcoin/address/1Dd3QKnvAZC17SvguLq8aoi8JLtQfr532P	1,100 BTC ($98,130,238) 31 0	1,100 BTC ($98,130,238)	0.0055131%	2013-06-14 23:21:39	2025-10-30 06:20:13	31			
207	15USWMmGtSHnnkmcJBrwYrAjtjBg6i4N8w	https://bitinfocharts.com/bitcoin/address/15USWMmGtSHnnkmcJBrwYrAjtjBg6i4N8w	1,100 BTC ($98,121,371) 44 10	1,100 BTC ($98,121,371)	0.0055126%	2015-01-24 11:41:22	2025-10-30 06:20:13	44	2015-10-22 03:26:56	2015-10-27 23:15:14	10
208	1AJuVk99ygzUoXZiAbBRnSaCMqB5QUJEsn	https://bitinfocharts.com/bitcoin/address/1AJuVk99ygzUoXZiAbBRnSaCMqB5QUJEsn	1,100 BTC ($98,121,272) 28 0	1,100 BTC ($98,121,272)	0.0055126%	2015-08-25 12:54:40	2025-10-30 06:20:13	28			
209	1KmaiBSWEwmLcmq1TZzEJqwvmchS6t2n3E	https://bitinfocharts.com/bitcoin/address/1KmaiBSWEwmLcmq1TZzEJqwvmchS6t2n3E	1,093 BTC ($97,515,642) 34 1	1,093 BTC ($97,515,642)	0.0054786%	2011-04-10 02:33:42	2025-10-30 06:20:13	34	2011-05-01 23:09:43	2011-05-01 23:09:43	1
210	1Nq8XVK1ocaBiL6ZswrDPmuqeZixXkFWEU	https://bitinfocharts.com/bitcoin/address/1Nq8XVK1ocaBiL6ZswrDPmuqeZixXkFWEU	1,055 BTC ($94,120,932) 26 0	1,055 BTC ($94,120,932)	0.0052879%	2016-04-09 05:10:40	2025-10-30 06:20:13	26			
211	1khUbG5x5irP5S8oaDDdNHZffymb5bpXu	https://bitinfocharts.com/bitcoin/address/1khUbG5x5irP5S8oaDDdNHZffymb5bpXu	1,049 BTC ($93,572,946) 29 0	1,049 BTC ($93,572,946)	0.0052571%	2013-09-24 01:45:52	2025-10-30 06:20:13	29			
212	1D4PtqZ8gdX8cBR8VgLSnC53c1tGL9wopJ	https://bitinfocharts.com/bitcoin/address/1D4PtqZ8gdX8cBR8VgLSnC53c1tGL9wopJ	1,036 BTC ($92,415,209) 27 0	1,036 BTC ($92,415,209)	0.0051921%	2012-07-23 23:39:01	2025-10-30 06:20:13	27			
213	1KNxYaLy5HGZmKGH8NzJzUVhomHg84d2y2	https://bitinfocharts.com/bitcoin/address/1KNxYaLy5HGZmKGH8NzJzUVhomHg84d2y2	1,033 BTC ($92,109,936) 29 0	1,033 BTC ($92,109,936)	0.0051749%	2011-11-15 08:08:15	2025-10-30 06:31:24	29			
